Comparison,Expected_Overlap,Observed_Overlap,(Obs - Exp)^2/Exp
aba_4.0hr_upx.cold_0.5hr_downx.,321.005994005994,766,616.872173941076
aba_4.0hr_upx.cold_4.0hr_downx.,307.087912087912,775,712.961055762988
aba_4.0hr_upx.drought_0.5hr_upx.,205.939060939061,781,1605.79096615141
aba_4.0hr_upx.drought_4.0hr_upx.,293.979020979021,1143,2452.00021558403
aba_4.0hr_upx.drought_0.5hr_downx.,296.487512487512,776,775.520775736205
aba_4.0hr_upx.drought_4hr_downx.,34.3096903096903,125,239.720387957023
aba_4.0hr_upx.salt_0.5hr_upx.,199.222777222777,706,1289.12545596434
aba_4.0hr_upx.salt_4.0hr_upx.,205.696303696304,914,2439.00409089604
aba_4.0hr_upx.salt_0.5hr_downx.,323.514485514485,886,977.977704778439
aba_4.0hr_upx.salt_4hr_downx.,349.246753246753,883,815.73422163884
aba_4.0hr_upx.sporeUpx.,7.84915084915085,8,0.00289909911903043
aba_4.0hr_upx.caulonemaUpx.,14.1608391608392,10,1.22256755590089
aba_4.0hr_upx.chloronemaUpx.,5.34065934065934,11,5.99703794148238
aba_4.0hr_upx.gamUpx.,9.38661338661339,9,0.0159237314409729
aba_4.0hr_upx.rhizUpx.,3.47952047952048,9,8.75859024696234
aba_0.5hr_downx.aba_4.0hr_upx.1.,272.620620758552,995,1914.13241632746
aba_0.5hr_downx.cold_0.5hr_upx.,436.250508112577,453,0.643083442356585
aba_0.5hr_downx.cold_4.0hr_upx.,408.355782148886,473,10.2334167514217
aba_0.5hr_downx.cold_0.5hr_downx.,570.40400978332,3174,11884.0540459163
aba_0.5hr_downx.cold_4.0hr_downx.,545.67260325881,3068,11659.2540258681
aba_0.5hr_downx.drought_0.5hr_upx.,365.938544214406,358,0.172216032556436
aba_0.5hr_downx.drought_4.0hr_upx.,522.379069206655,789,136.082636015777
aba_0.5hr_downx.drought_0.5hr_downx.,526.836473870957,2970,11329.9824735927
aba_0.5hr_downx.drought_4hr_downx.,60.9657928278618,183,244.273830116197
aba_0.5hr_downx.salt_0.5hr_upx.,354.004202693858,352,0.0113468382790388
aba_0.5hr_downx.salt_4.0hr_upx.,365.5071824727,658,234.063932003439
aba_0.5hr_downx.salt_0.5hr_downx.,574.861414447621,3101,11100.7209616745
aba_0.5hr_downx.salt_4hr_downx.,620.585759068518,2895,8335.60884013259
aba_0.5hr_downx.sporeUpx.,13.9473629818457,21,3.56624323713252
aba_0.5hr_downx.caulonemaUpx.,25.1627682662165,24,0.0537313711518562
aba_0.5hr_downx.chloronemaUpx.,9.48995831754453,5,2.12432183774896
aba_0.5hr_downx.gamUpx.,16.6793206793207,7,5.61709020495556
